DICO;CONCELHO;NUTSII_24;NUTSIII_24;T_CAR_ELH;T_VAG_B;T_VAG_21;V_POP_1121;P_VAG_21;P_VAG_RET
0911;Sabugal;Centro;Beiras e Serra da Estrela;;1450;2396;-10,08;15,32;1,83
0912;Seia;Centro;Beiras e Serra da Estrela;;1707;2972;-11,93;16,86;1,00
0913;Trancoso;Centro;Beiras e Serra da Estrela;33;872;1675;-14,83;19,64;0,78
0914;Vila Nova de Foz Côa;Norte;Douro;60;531;845;-13,79;12,97;1,27
1001;Alcobaça;Oeste e Vale do Tejo;Oeste;;3289;5158;-3,04;14,54;1,27
1002;Alvaiázere;Centro;Região de Leiria;77;583;1234;-14,40;21,57;1,28
1003;Ansião;Centro;Região de Leiria;;750;1686;-11,08;19,75;0,87
1004;Batalha;Centro;Região de Leiria;44;685;1225;-1,57;14,45;1,62
1005;Bombarral;Oeste e Vale do Tejo;Oeste;55;919;1554;-3,39;19,23;1,73
1006;Caldas da Rainha;Oeste e Vale do Tejo;Oeste;94;3019;4761;-1,58;15,06;1,16
1007;Castanheira de Pêra;Centro;Região de Leiria;;228;466;-17,11;17,36;0,72
1008;Figueiró dos Vinhos;Centro;Região de Leiria;38;390;893;-14,39;18,25;0,75
1009;Leiria;Centro;Região de Leiria;131;5312;8018;1,35;11,40;1,38
1010;Marinha Grande;Centro;Região de Leiria;625;2110;3058;0,84;13,88;1,40
1011;Nazaré;Oeste e Vale do Tejo;Oeste;141;940;1430;-1,83;10,42;1,00
1012;Óbidos;Oeste e Vale do Tejo;Oeste;;691;1040;1,27;11,27;1,26
1013;Pedrógão Grande;Centro;Região de Leiria;53;241;393;-13,41;11,02;1,17
1014;Peniche;Oeste e Vale do Tejo;Oeste;278;1406;2047;-4,77;9,49;1,33
1015;Pombal;Centro;Região de Leiria;295;3049;5471;-7,38;16,14;2,20
1016;Porto de Mós;Centro;Região de Leiria;85;1227;1988;-4,68;15,05;1,45
1101;Alenquer;Oeste e Vale do Tejo;Oeste;;2272;3473;2,72;14,72;1,54
1102;Arruda dos Vinhos;Oeste e Vale do Tejo;Oeste;92;520;821;4,49;12,25;1,90
1103;Azambuja;Oeste e Vale do Tejo;Lezíria do Tejo;150;1159;2084;-1,80;17,38;1,45
1104;Cadaval;Oeste e Vale do Tejo;Oeste;46;846;1281;-6,02;14,52;2,06
1105;Cascais;Grande Lisboa;Grande Lisboa;4085;9179;11197;3,70;10,13;1,74
1106;Lisboa;Grande Lisboa;Grande Lisboa;5485;41002;47748;-1,25;14,93;1,89
1107;Loures;Grande Lisboa;Grande Lisboa;3804;7978;10126;1,05;10,33;1,96
1108;Lourinhã;Oeste e Vale do Tejo;Oeste;100;1450;2419;1,96;13,60;1,33
1109;Mafra;Grande Lisboa;Grande Lisboa;163;2663;4093;12,82;9,12;1,41
1110;Oeiras;Grande Lisboa;Grande Lisboa;3150;7268;8294;-0,27;9,56;2,59
1111;Sintra;Grande Lisboa;Grande Lisboa;3839;13786;17035;2,06;9,25;2,01
1112;Sobral de Monte Agraço;Oeste e Vale do Tejo;Oeste;;483;887;3,78;16,23;1,26
1113;Torres Vedras;Oeste e Vale do Tejo;Oeste;185;3186;5032;4,54;10,86;1,55
1114;Vila Franca de Xira;Grande Lisboa;Grande Lisboa;171;4417;5547;0,47;8,50;1,71
1115;Amadora;Grande Lisboa;Grande Lisboa;2397;6911;8101;-2,10;9,29;2,17
1116;Odivelas;Grande Lisboa;Grande Lisboa;1309;5290;6267;1,99;8,72;1,83
1201;Alter do Chão;Alentejo;Alto Alentejo;29;359;571;-14,54;18,94;0,98
1202;Arronches;Alentejo;Alto Alentejo;118;237;404;-11,88;15,97;0,94
1203;Avis;Alentejo;Alto Alentejo;87;412;741;-16,60;20,67;1,06
1204;Campo Maior;Alentejo;Alto Alentejo;40;585;752;-4,90;14,65;1,69
1205;Castelo de Vide;Alentejo;Alto Alentejo;59;349;457;-8,54;15,72;1,14
1206;Crato;Alentejo;Alto Alentejo;60;225;400;-13,03;12,50;1,03
1207;Elvas;Alentejo;Alto Alentejo;712;1946;2728;-10,17;20,33;1,23
1208;Fronteira;Alentejo;Alto Alentejo;51;351;455;-16,19;17,74;1,70
1209;Gavião;Alentejo;Alto Alentejo;;453;652;-17,86;18,48;1,62
1210;Marvão;Alentejo;Alto Alentejo;33;277;636;-13,98;21,47;1,08
1211;Monforte;Alentejo;Alto Alentejo;86;198;293;-10,12;12,18;1,35
1212;Nisa;Alentejo;Alto Alentejo;52;653;1154;-20,11;16,14;1,19
1213;Ponte de Sor;Alentejo;Alto Alentejo;22;994;1497;-8,81;14,23;0,94
1214;Portalegre;Alentejo;Alto Alentejo;340;1529;2552;-10,39;17,42;1,16
1215;Sousel;Alentejo;Alto Alentejo;137;563;792;-14,07;21,56;1,38
1301;Amarante;Norte;Tâmega e Sousa;305;1720;3741;-7,37;12,71;0,98
1302;Baião;Norte;Tâmega e Sousa;121;859;2235;-14,56;18,82;0,72
1303;Felgueiras;Norte;Tâmega e Sousa;169;1824;2770;-3,82;10,98;1,23
1304;Gondomar;Norte;Área Metropolitana do Porto;1453;4474;7401;-2,24;9,93;1,51
1305;Lousada;Norte;Tâmega e Sousa;253;1075;1917;-0,05;9,57;1,20
1306;Maia;Norte;Área Metropolitana do Porto;788;3201;4874;-0,24;8,17;1,32
1307;Marco de Canaveses;Norte;Tâmega e Sousa;179;1460;3016;-7,31;12,04;0,79
1308;Matosinhos;Norte;Área Metropolitana do Porto;2691;5393;7022;-1,66;8,54;1,76
1309;Paços de Ferreira;Norte;Tâmega e Sousa;468;1286;1971;-1,32;8,81;1,51
1310;Paredes;Norte;Área Metropolitana do Porto;244;1863;3311;-2,88;9,17;1,09
1311;Penafiel;Norte;Tâmega e Sousa;495;1931;3660;-3,65;11,49;1,09
1312;Porto;Norte;Área Metropolitana do Porto;3000;15343;20270;-2,44;15,20;1,60
1313;Póvoa de Varzim;Norte;Área Metropolitana do Porto;232;1782;2635;1,34;7,29;1,29
1314;Santo Tirso;Norte;Área Metropolitana do Porto;667;2187;3300;-5,34;10,67;1,42
1315;Valongo;Norte;Área Metropolitana do Porto;855;1861;2924;0,87;7,00;1,62
1316;Vila do Conde;Norte;Área Metropolitana do Porto;1606;1963;2733;1,62;7,05;1,71
1317;Vila Nova de Gaia;Norte;Área Metropolitana do Porto;3190;8873;13523;0,50;9,38;1,46
1318;Trofa;Norte;Área Metropolitana do Porto;164;790;1338;-1,16;8,37;1,72
1401;Abrantes;Oeste e Vale do Tejo;Médio Tejo;151;3021;5192;-12,70;20,65;1,12
1402;Alcanena;Oeste e Vale do Tejo;Médio Tejo;166;978;1812;-10,07;22,57;1,11
1403;Almeirim;Oeste e Vale do Tejo;Lezíria do Tejo;;1699;2215;-5,84;18,25;1,80
1404;Alpiarça;Oeste e Vale do Tejo;Lezíria do Tejo;63;456;703;-9,44;17,51;1,39
1405;Benavente;Oeste e Vale do Tejo;Lezíria do Tejo;409;1039;1810;2,38;11,97;1,31
1406;Cartaxo;Oeste e Vale do Tejo;Lezíria do Tejo;69;1050;1832;-5,22;13,84;1,44
1407;Chamusca;Oeste e Vale do Tejo;Lezíria do Tejo;61;850;1525;-15,71;25,28;0,88
1408;Constância;Oeste e Vale do Tejo;Médio Tejo;;239;378;-6,36;17,21;1,68
1409;Coruche;Oeste e Vale do Tejo;Lezíria do Tejo;133;1891;2915;-12,98;24,18;1,52
1410;Entroncamento;Oeste e Vale do Tejo;Médio Tejo;220;993;1649;-0,32;15,12;1,73
1411;Ferreira do Zêzere;Oeste e Vale do Tejo;Médio Tejo;42;655;1095;-9,50;14,58;1,23
1412;Golegã;Oeste e Vale do Tejo;Lezíria do Tejo;49;345;667;-8,68;19,12;1,21
1413;Mação;Oeste e Vale do Tejo;Médio Tejo;26;399;792;-12,76;11,84;0,91
1414;Rio Maior;Oeste e Vale do Tejo;Lezíria do Tejo;;1156;2084;-0,89;17,02;1,24
1415;Salvaterra de Magos;Oeste e Vale do Tejo;Lezíria do Tejo;95;1269;1783;-2,49;15,00;2,21
1416;Santarém;Oeste e Vale do Tejo;Lezíria do Tejo;332;3377;5651;-5,00;16,24;1,26
1417;Sardoal;Oeste e Vale do Tejo;Médio Tejo;61;226;437;-10,81;15,17;0,75
1418;Tomar;Oeste e Vale do Tejo;Médio Tejo;227;2505;4456;-10,48;17,08;1,25
1419;Torres Novas;Oeste e Vale do Tejo;Médio Tejo;75;1931;3640;-7,10;17,35;1,10
1420;Vila Nova da Barquinha;Oeste e Vale do Tejo;Médio Tejo;100;441;675;-4,18;16,50;1,94
1421;Ourém;Oeste e Vale do Tejo;Médio Tejo;53;2834;4923;-3,05;16,51;1,63
1501;Alcácer do Sal;Alentejo;Alentejo Litoral;;1094;1728;-14,82;19,48;1,11
1502;Alcochete;Península de Setúbal;Península de Setúbal;181;590;899;8,96;9,78;1,28
1503;Almada;Península de Setúbal;Península de Setúbal;2701;6886;8779;1,84;8,64;1,76
1504;Barreiro;Península de Setúbal;Península de Setúbal;737;3492;4661;-0,53;11,15;1,82
1505;Grândola;Alentejo;Alentejo Litoral;305;1215;1688;-6,77;13,46;1,32
1506;Moita;Península de Setúbal;Península de Setúbal;414;2613;4182;0,34;12,09;1,37
1507;Montijo;Península de Setúbal;Península de Setúbal;1039;2516;3648;8,71;13,06;1,33
1508;Palmela;Península de Setúbal;Península de Setúbal;258;2667;3766;9,58;10,85;1,79
1509;Santiago do Cacém;Alentejo;Alentejo Litoral;161;1727;2490;-6,65;13,44;1,18
1510;Seixal;Península de Setúbal;Península de Setúbal;1809;5536;6673;5,21;8,05;1,81
1511;Sesimbra;Península de Setúbal;Península de Setúbal;523;1705;2328;5,83;7,02;1,41
1512;Setúbal;Península de Setúbal;Península de Setúbal;8160;5110;6432;1,91;10,17;1,78
1513;Sines;Alentejo;Alentejo Litoral;;865;1046;-0,28;12,09;1,49
1601;Arcos de Valdevez;Norte;Alto Minho;163;974;1888;-9,32;10,61;1,30
1602;Caminha;Norte;Alto Minho;186;878;1193;-5,32;8,30;1,27
1603;Melgaço;Norte;Alto Minho;132;429;816;-15,63;10,41;1,35
1604;Monção;Norte;Alto Minho;173;1321;2168;-7,35;15,65;2,03
1605;Paredes de Coura;Norte;Alto Minho;105;448;922;-6,15;14,55;1,23
1606;Ponte da Barca;Norte;Alto Minho;193;597;1011;-8,43;12,11;1,40
1607;Ponte de Lima;Norte;Alto Minho;;1032;1885;-5,37;8,24;1,56
1608;Valença;Norte;Alto Minho;106;684;1215;-3,57;14,26;1,18
1609;Viana do Castelo;Norte;Alto Minho;686;3388;5120;-3,32;10,40;1,41
1610;Vila Nova de Cerveira;Norte;Alto Minho;106;446;704;-3,59;11,33;1,15
1701;Alijó;Norte;Douro;162;706;1150;-12,19;13,26;1,39
1702;Boticas;Norte;Alto Tâmega e Barroso;92;284;487;-13,04;10,25;1,89
1703;Chaves;Norte;Alto Tâmega e Barroso;324;2413;3691;-8,86;12,89;1,13
1704;Mesão Frio;Norte;Douro;66;190;371;-19,99;15,57;1,57
1705;Mondim de Basto;Norte;Ave;52;137;349;-14,45;7,62;1,76
1706;Montalegre;Norte;Alto Tâmega e Barroso;119;728;1119;-12,11;10,27;1,66
1707;Murça;Norte;Douro;203;321;371;-11,88;8,74;1,36
1708;Peso da Régua;Norte;Douro;454;665;1343;-15,12;14,35;0,85
1709;Ribeira de Pena;Norte;Alto Tâmega e Barroso;79;210;399;-10,09;7,91;0,72
1710;Sabrosa;Norte;Douro;172;197;289;-12,78;6,00;0,98
1711;Santa Marta de Penaguião;Norte;Douro;212;281;492;-17,07;10,58;0,93
1712;Valpaços;Norte;Alto Tâmega e Barroso;;945;1439;-12,92;10,56;1,45
1713;Vila Pouca de Aguiar;Norte;Alto Tâmega e Barroso;133;486;978;-10,43;9,51;1,87
1714;Vila Real;Norte;Douro;384;1694;3048;-4,40;9,89;0,96
1801;Armamar;Norte;Douro;92;322;854;-9,83;17,62;0,72
1802;Carregal do Sal;Centro;Viseu Dão Lafões;101;635;1172;-8,10;17,42;0,97
1803;Castro Daire;Centro;Viseu Dão Lafões;68;1169;1599;-10,45;12,38;1,71
1804;Cinfães;Norte;Tâmega e Sousa;352;785;1422;-13,20;11,71;1,25
1805;Lamego;Norte;Douro;136;1153;2146;-8,91;12,88;0,90
1806;Mangualde;Centro;Viseu Dão Lafões;164;1221;2279;-7,93;17,79;1,05
1807;Moimenta da Beira;Norte;Douro;141;453;1047;-7,85;13,24;1,03
1808;Mortágua;Centro;Região de Coimbra;51;743;1125;-6,70;18,14;1,30
1809;Nelas;Centro;Viseu Dão Lafões;71;1016;1545;-6,54;17,43;1,13
1810;Oliveira de Frades;Centro;Viseu Dão Lafões;75;324;709;-7,36;11,85;0,96
1811;Penalva do Castelo;Centro;Viseu Dão Lafões;100;550;986;-7,83;17,45;1,08
1812;Penedono;Norte;Douro;78;217;355;-7,25;12,76;1,79
1813;Resende;Norte;Tâmega e Sousa;;391;958;-11,55;12,44;0,77
1814;Santa Comba Dão;Centro;Viseu Dão Lafões;383;672;1046;-8,24;14,63;0,98
1815;São João da Pesqueira;Norte;Douro;45;422;952;-13,96;16,87;0,82
1816;São Pedro do Sul;Centro;Viseu Dão Lafões;147;708;1715;-10,17;14,65;0,94
1817;Sátão;Centro;Viseu Dão Lafões;20;979;1745;-11,36;18,43;1,07
1818;Sernancelhe;Norte;Douro;41;387;631;0,37;13,65;1,75
1819;Tabuaço;Norte;Douro;116;244;502;-20,72;11,59;0,82
1820;Tarouca;Norte;Douro;;416;794;-8,51;12,71;1,37
1821;Tondela;Centro;Viseu Dão Lafões;150;1296;2520;-10,49;14,34;1,13
1822;Vila Nova de Paiva;Centro;Viseu Dão Lafões;47;442;648;-9,93;13,94;1,34
1823;Viseu;Centro;Viseu Dão Lafões;312;4238;6858;0,28;12,09;1,25
1824;Vouzela;Centro;Viseu Dão Lafões;111;458;1081;-9,31;16,09;1,15
4801;Lajes das Flores;Região Autónoma dos Açores;Região Autónoma dos Açores;;79;194;-6,38;18,82;0,94
4802;Santa Cruz das Flores;Região Autónoma dos Açores;Região Autónoma dos Açores;60;138;255;-11,75;21,56;0,79
4901;Corvo;Região Autónoma dos Açores;Região Autónoma dos Açores;;30;47;-10,70;22,93;0,91
4101;Vila do Porto;Região Autónoma dos Açores;Região Autónoma dos Açores;118;365;535;-2,63;14,65;1,28
4201;Lagoa [R,A,A,];Região Autónoma dos Açores;Região Autónoma dos Açores;;341;465;-1,75;8,76;1,52
4202;Nordeste;Região Autónoma dos Açores;Região Autónoma dos Açores;105;192;309;-11,53;11,78;1,39
4203;Ponta Delgada;Região Autónoma dos Açores;Região Autónoma dos Açores;695;2559;3442;-2,30;11,81;1,75
4204;Povoação;Região Autónoma dos Açores;Região Autónoma dos Açores;;285;456;-8,47;12,75;1,05
4205;Ribeira Grande;Região Autónoma dos Açores;Região Autónoma dos Açores;549;1171;1485;-2,25;12,65;2,02
4206;Vila Franca do Campo;Região Autónoma dos Açores;Região Autónoma dos Açores;122;388;472;-8,07;11,06;2,05
4301;Angra do Heroísmo;Região Autónoma dos Açores;Região Autónoma dos Açores;694;1219;1798;-4,61;11,54;1,32
4302;Vila da Praia da Vitória;Região Autónoma dos Açores;Região Autónoma dos Açores;210;1087;1422;-7,47;14,56;1,33
4401;Santa Cruz da Graciosa;Região Autónoma dos Açores;Região Autónoma dos Açores;;174;351;-6,85;12,14;0,76
4501;Calheta [R,A,A,];Região Autónoma dos Açores;Região Autónoma dos Açores;;149;264;-8,91;10,90;0,81
4502;Velas;Região Autónoma dos Açores;Região Autónoma dos Açores;;415;581;-8,56;17,83;1,02
4601;Lajes do Pico;Região Autónoma dos Açores;Região Autónoma dos Açores;;237;376;-7,88;11,61;1,00
4602;Madalena;Região Autónoma dos Açores;Região Autónoma dos Açores;;242;435;4,46;12,02;0,77
4603;São Roque do Pico;Região Autónoma dos Açores;Região Autónoma dos Açores;;176;273;-4,96;11,86;1,22
4701;Horta;Região Autónoma dos Açores;Região Autónoma dos Açores;205;626;841;-4,42;11,37;1,20
3101;Calheta [R,A,M,];Região Autónoma da Madeira;Região Autónoma da Madeira;;796;1427;-5,26;18,70;1,11
3102;Câmara de Lobos;Região Autónoma da Madeira;Região Autónoma da Madeira;474;780;1668;-9,82;12,13;1,13
3103;Funchal;Região Autónoma da Madeira;Região Autónoma da Madeira;202;4818;6883;-5,46;13,18;1,37
3104;Machico;Região Autónoma da Madeira;Região Autónoma da Madeira;39;867;1323;-10,24;13,29;1,27
3105;Ponta do Sol;Região Autónoma da Madeira;Região Autónoma da Madeira;148;321;712;-5,66;14,57;0,87
3106;Porto Moniz;Região Autónoma da Madeira;Região Autónoma da Madeira;;241;388;-7,16;19,18;1,02
3107;Ribeira Brava;Região Autónoma da Madeira;Região Autónoma da Madeira;78;531;1072;-5,20;15,37;0,92
3108;Santa Cruz;Região Autónoma da Madeira;Região Autónoma da Madeira;;1412;2299;-1,95;11,28;1,41
3109;Santana;Região Autónoma da Madeira;Região Autónoma da Madeira;;519;780;-15,11;15,97;1,39
3110;São Vicente;Região Autónoma da Madeira;Região Autónoma da Madeira;16;337;558;-14,99;14,75;1,24
3201;Porto Santo;Região Autónoma da Madeira;Região Autónoma da Madeira;71;663;869;-6,09;19,06;0,93
